,Name,Rating,Reviews,Salaries,Jobs,Loction,Global_Company_Size,Industry,Description
11,PwC,3.9,70.9TReviews,10.6T,22.8T,75 office locations,1001 to 5000 Employees,Accounting & Tax,"Our people are powered by technology to turn today’s ideas into tomorrow’s solutions.  Learn more about how you can help organizations meet the challenges and opportunities of the US marketplace in the areas of audit, tax, consulting and products and technology.

We connect people with diverse backgrounds and skillsets to solve important problems together—for our clients, our communities and for the world at large."
12,Tech Mahindra,3.6,31.2TReviews,24.2T,455,29 office locations,10000+ Employees,Information Technology Support Services,"Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise™. We are a USD 4.9 billion company with 118,390+ professionals across 90 countries, helping over 930 global customers including Fortune 500 companies. Our convergent, digital, design experiences, innovation platforms and reusable assets connect across a number of technologies to deliver tangible business value and experiences to our stakeholders. Tech Mahindra is the highest ranked Non-U.S. company in the Forbes Global Digital 100 list (2018) and in the Forbes Fab 50 companies in Asia (2018).
We are part of the USD 21 billion Mahindra Group that employs more than 200,000 people in over 100 countries. The Group operates in the key industries that drive economic growth, enjoying a leadership position in tractors, utility vehicles, after-market, information technology and vacation ownership."
13,Microsoft,4.4,47.7TReviews,9.3T,768,60 office locations,10000+ Employees,Computer Hardware Development,"Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course."
14,KPMG,3.8,54.5TReviews,10.1T,199,26 office locations,10000+ Employees,Business Consulting,"KPMG LLP, the U.S. audit, tax and advisory services firm, operates from more than 100 offices with more than 32,000 employees and partners throughout the U.S. Our purpose is to turn knowledge into value for the benefit of our clients, our people, and the capital markets.

KPMG delivers a globally consistent set of multidisciplinary services based on deep industry knowledge. Our industry focus helps KPMG professionals develop a rich understanding of clients' businesses and the insight, skills, and resources required to address industry-specific issues and opportunities."
15,Teleperformance,4.6,46.9TReviews,8T,2T,37 office locations,10000+ Employees,Telecommunications Services,"Passion. Integrity. Excellence. We are Teleperformance, the worldwide leader in outsourced omnichannel customer experience management.
 
For almost four decades, we have been helping our clients across 80 countries serving  175 markets strengthen their relationships with their customers by providing customer care, technical support, customer acquisition, digital solutions, analytics, and other specialized services. Aon, Great Place to Work, the Everest Group and many others have recognized our expertise in different fields.
 
As a people company, we want to be the bridge that connects you to great opportunities. Allow us to take your career to new places. With your passion and our mission, we can do great things together. 
 
Ready to take that first step? We want to hear from you."
16,Google,4.4,42.8TReviews,7.7T,1.7T,"Headquarters in Mountain View, United States",10000+ Employees,Internet & Web Services,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com."
17,Dell Technologies,4.3,32.2TReviews,9.5T,315,25 office locations,10000+ Employees,Information Technology Support Services,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.


Dell is a collective of customer-obsessed, industry-leading visionaries. At our core is a commitment to diversity, sustainability and our communities. We offer unparalleled growth and development opportunities for our team members. We believe that technology is essential for driving human progress, and we’re committed to providing that technology to people and organizations everywhere, so they can transform the way they work and live."
18,Cisco Systems,4.4,30.9TReviews,7.6T,520,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. 

At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (36+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! 

Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. 

As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. 

Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our people—unique, innovative, and diverse. Be you, with us!"
19,Wells Fargo,3.7,45.2TReviews,4.8T,2.5T,26 office locations,10000+ Employees,Banking & Lending,"Wells Fargo &amp; Company (NYSE: WFC) is a diversified, community-based financial services company with $1.98 trillion in assets. Wells Fargo’s vision is to satisfy our customers’ financial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 7,400 locations, more than 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 31 countries and territories to support customers who conduct business in the global economy. With approximately 263,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo &amp; Company was ranked No. 30 on Fortune’s 2020 rankings of America’s largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories. 
Additional information may be found at www.wellsfargo.com | Twitter: @WellsFargo."
20,DXC Technology,3.6,23.2TReviews,9.8T,1.7T,26 office locations,10000+ Employees,Information Technology Support Services,"DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC."
21,Genpact,4.0,19.6TReviews,14.8T,3.7T,64 office locations,10000+ Employees,Information Technology Support Services,"Genpact (NYSE: G) is a global professional services firm that makes business transformation real. We drive digital-led innovation and digitally-enabled intelligent operations for our clients, guided by our experience running thousands of processes primarily for Global Fortune 500 companies. We think with design, dream in digital, and solve problems with data and analytics.  Combining our expertise in end-to-end operations and our AI-based platform, Genpact Cora, we focus on the details – all 87,000+ of us. From New York to New Delhi and more than 25 countries in between, we connect every dot, reimagine every process, and reinvent companies’ ways of working. We know that reimagining each step from start to finish creates better business outcomes. Whatever it is, we’ll be there with you – accelerating digital transformation to create bold, lasting results – because transformation happens here. Get to know us at Genpact.com and on LinkedIn, Twitter, YouTube, and Facebook."
22,Concentrix,4.3,28.5TReviews,8.5T,2.2T,30 office locations,10000+ Employees,Information Technology Support Services,"In a world full of average, we stand out. We believe experience is everything. Period.

To achieve outstanding results, we’re disrupting the market by being absolutely obsessed with making our clients’ businesses better. We bring together the brightest and most creative minds in business, cutting-edge technology solutions, proven design thinking expertise and exceptional customer experience centers. Our clients notice the difference too… in increased customer loyalty, improved business performance and differentiation in their markets.

As a diverse, global organization, we have unconventionally fresh ideas and deliver extraordinary customer experiences for more than 450 of the world’s best brands.

Concentrix. A passionate company powered by passionate people."
23,LTI,3.8,12.3TReviews,11.5T,859,27 office locations,10000+ Employees,Information Technology Support Services,"LTI (NSE: LTI) is a global technology consulting and digital solutions Company helping more than 420 clients succeed in a converging world. With operations in 32 countries, we go the extra mile for our clients and accelerate their digital transformation with LTI’s MosaicTM platform enabling their mobile, social, analytics, IoT and cloud journeys. Founded in 1997 as a subsidiary of Larsen &amp; Toubro Limited, our unique heritage gives us unrivaled real-world expertise to solve the most complex challenges of enterprises across all industries. Each day, our team of more than 30,000 LTItes enable our clients to improve the effectiveness of their business and technology operations and deliver value to their customers, employees and shareholders. Follow us at @LTI_Global"
24,J.P. Morgan,4.1,23.2TReviews,7.3T,4,25 office locations,10000+ Employees,Investment & Asset Management,"J.P. Morgan has been doing first-class business in a first-class way for more than 200 years. We have been a leading player in helping companies grow and markets develop throughout our history. We work in collaboration across the globe to deliver the best solutions and advice to meet our clients' needs anywhere in the world. We operate in 150 countries, and hold global leadership positions across our businesses."
25,Citi,3.9,30.8TReviews,4.5T,8.9T,26 office locations,10000+ Employees,Investment & Asset Management,"Citi is more than a global financial services company. It’s an engine for progress. Join us, and you’ll have the chance to get involved in progress in all its shapes and forms, right across the world. From the micro to the macro, from Australia to Zambia, the work we do has real positive impact. Wherever you are and whatever you do, progress starts here. 

We’ve built a world famous, trusted brand over 200 years of continuously evolving financial services. And today, our influence continues to grow: with financial operations in 160 countries and 100 currencies. We have 200 million different clients, including some of the biggest names in the industries, sectors, businesses and governments that we serve every day. It all adds up to an exciting place to be for talented, ambitious people who want to build a truly remarkable career."
26,SAP,4.4,27.6TReviews,4.9T,1.9T,28 office locations,10000+ Employees,Enterprise Software & Network Solutions,"As market leader in enterprise application software, SAP helps companies of all sizes and industries run better. 

From back office to boardroom, warehouse to storefront, desktop to mobile device – SAP empowers people and organizations to work together more efficiently and use business insight more effectively to stay ahead of the competition. SAP helps simplify technology for companies of all sizes so they can consume our software the way they want – and without disruption. With an extensive global network of customers, partners, employees, and thought leaders around the world, SAP helps the world run better and improve people’s lives. 

For more information, visit https://jobs.sap.com"
27,Intel Corporation,4.2,28.2TReviews,3.9T,1.2T,32 office locations,10000+ Employees,Computer Hardware Development,
28,HSBC,3.8,26.7TReviews,5T,3.4T,9 office locations,10000+ Employees,Banking & Lending,"One of the world's largest banking groups by assets, HSBC Holdings owns subsidiaries throughout Europe, Hong Kong and the rest of the Asia/Pacific region, the Middle East and Africa, and the Americas. All told, the company has some 7,500 locations in more than 80 countries. Its activities include consumer and commercial banking, credit cards, private banking, investment banking, and leasing. Its North American operations comprise HSBC USA, HSBC Bank Canada, HSBC Bank Bermuda, and Grupo Financiero HSBC in Mexico."
29,Qualcomm,4.1,9.5TReviews,3.6T,10,34 office locations,10000+ Employees,Computer Hardware Development,"We’re looking for inventive minds to help fuel what’s next in 5G.

Qualcomm is the wireless technology innovator and the company of inventors that unlocked 5G. We’re ushering in an age of rapid acceleration in wireless connectivity that’s transforming entire industries and enriching lives on a global scale. From smartphones to smart homes, mobile PCs to automotive, gaming to XR/VR/AR, and audio to factories of the future, 5G may be the most important technological development of the 21 st century — and Qualcomm is leading the way. 

But this is just the beginning. It takes brilliant minds with diverse skills, backgrounds, and cultures to transform 5G’s potential into world-changing technologies and products. This is the Invention Age — and this is where you come in."
30,Ericsson-Worldwide,4.1,17.6TReviews,5T,715,26 office locations,10000+ Employees,Telecommunications Services,"Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers, with about 40% of the world’s mobile traffic carried through our networks. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt and scale, making our customers successful in a fully connected world. For more than 140 years, our ideas, technology and people have changed the world: real turning points that have transformed lives, industries and society as a whole."
31,Mphasis,3.6,8.5TReviews,7T,34,33 office locations,10000+ Employees,Information Technology Support Services,"A leading applied technology services company, we innovate to deliver service excellence and successful outcomes across sales, delivery and development. With our strategy to be agile, nimble and customer-centric, we anticipate the future of applied technology and predict tomorrow’s trends to keep our clients at the summit in an ever-changing marketplace. Leading with architecture and design, our next-gen solutions enable enterprises to accelerate on their digital transformation journey.
 
Customer centricity is foundational to us and is reflected in the Mphasis’ Front2Back™ (F2B) transformation approach.  F2B is a customer-in view approach that uses our industry-specific X2C2TM framework, and harnesses the power of cognitive technologies and rich data resident in enterprises to transform them. It is a way to introduce disruptive technology to smartly transform legacy environments. . Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization are key to building strong relationships with marquee clients. Click here to know more
 
Mphasis Presents #HowGeekAreYou
Passion, Perseverance, Perfection – we are defined by these three words. Relentless in our pursuit of knowledge, we believe in accepting the difference and defining the 'new normal', staying true to our vision and values. We believe in growth by knowledge, responsibility by authority and freedom by flexibility. 

Be a part of a place where ideas are celebrated and perseverance is worshipped. Where Geeks come together to pursue digital transformation. Collaborate with those who think way ahead of their time. Grow along with future visionaries. There's a whole new world waiting for you at Mphasis.
 
Our doors are wide open, and breakthrough ideas are welcome from anyone. But we have a question to ask before we let you in: How Geek Are You?"
32,Verizon,3.9,31.9TReviews,2.4T,1.2T,23 office locations,10000+ Employees,Telecommunications Services,"You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where there’s the flexibility to focus on the passions that matter most.

Our network is built by people like you. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward.

So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife."
33,JPMorgan Chase & Co,4.0,21.9TReviews,2.9T,6.7T,"Headquarters in New York, United States",10000+ Employees,Banking & Lending,"JPMorgan Chase is one of the world's oldest, largest and best-known financial institutions. With a history that traces our roots to 1799 in New York City, we carry forth the innovative spirit of our heritage firms in our global operations in over 60 countries. We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients-managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services.

© 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans."
34,ADP,4.0,18.1TReviews,3.2T,3T,18 office locations,10000+ Employees,Enterprise Software & Network Solutions,
35,Nokia,4.2,17.3TReviews,4.6T,1.3T,29 office locations,10000+ Employees,Telecommunications Services,"Join us in creating the technology that helps the world act together.
We are a B2B technology innovation leader pioneering the future where networks meet cloud.

At Nokia you will have a positive impact on people’s lives and help build the capabilities needed for a more productive, sustainable, and accessible world. 
Be part of a culture built on an inclusive way of working where we are open to your ideas, you are empowered to take risks and are encouraged to be fearless in bringing your authentic self to work.  

www.nokia.com/careers"
36,NTT DATA,3.9,13.2TReviews,5.5T,7.9T,57 office locations,10000+ Employees,Information Technology Support Services,"NTT DATA is a leading IT services provider and global innovation partner with 76,000 professionals based in more than 40 countries. NTT DATA emphasizes long-term commitment and combines global reach and local intimacy to provide premier professional services, including consulting, application services, business process and IT outsourcing, and cloud-based solutions. We’re part of NTT Group, one of the world’s largest technology services companies, generating more than $100 billion in annual revenues and partner to 80% of the Fortune Global 100.

Visit www.nttdata.com/americas to learn how our consultants, projects, managed services, and outsourcing engagements deliver value for a wide range of businesses and government agencies."
37,Hewlett Packard Enterprise | HPE,4.2,16.5TReviews,3.7T,1.8T,25 office locations,10000+ Employees,Information Technology Support Services,"At Hewlett Packard Enterprise, we are changing the world together. We’re advancing the way people live, work and communicate. With a culture that thrives on finding new and better ways to accelerate what's next, we offer businesses the opportunity to turn insights into outcomes. We do this by making Hybrid IT simple, powering the Intelligent Edge, and providing the expertise to make it happen. What starts here changes the world."
38,Morgan Stanley,4.0,17TReviews,3.1T,1.2T,71 office locations,10000+ Employees,Investment & Asset Management,"Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 85 years, the firm’s reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients. 

Morgan Stanley is committed to maintaining the first-class service and high standard of excellence that have always defined the firm. At its foundation are five core values — putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back — that guide its more than 80,000 employees in 1,200 offices across 41 countries.

Morgan Stanley has been operating in India for over 28 years, providing a variety of services to domestic and international clients. The firm has a premier institutional securities platform in India, offering a full range of investment banking, capital markets, equities, fixed income, commodities and derivative products, as well as research.

Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business and our heritage."
39,Capgemini Engineering,3.7,11.5TReviews,5.5T,2.3T,22 office locations,10000+ Employees,Information Technology Support Services,"Capgemini Engineering combines, under one brand, a unique set of strengths from across the Capgemini Group: the world-leading engineering and R&D services of Altran – acquired by Capgemini in 2020 - and Capgemini’s digital manufacturing expertise. With broad industry knowledge and cutting-edge technologies in digital and software, Capgemini Engineering supports the convergence of the physical and digital worlds. Combined with the capabilities of the rest of the Group, it helps clients to accelerate their journey towards Intelligent Industry. Capgemini Engineering has more than 52,000 engineer and scientist team members in over 30 countries across sectors including aeronautics, automotive, railways, communications, energy, life sciences, semiconductors, software & internet, space & defence, and consumer products. 

Capgemini Engineering is an integral part of the Capgemini Group, a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 270,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of €16 billion.

Get the Future You Want | www.capgemini.com"
40,American Express,4.2,15.4TReviews,4.1T,355,22 office locations,10000+ Employees,Financial Transaction Processing,"With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

Join Team Amex and let’s lead the way together.

Check out the recent awards we’re proud of:
• #8 on FORTUNE 100 Best Companies to Work For - 2022
• Human Rights Campaign Corporate Equality Index Score of 100% (since 2004)- 2022
• Forbes America's Best Employers for Diversity - 2022
• Seramount 100 Best Companies - 2022
• FORTUNE World’s Most Admired Companies - 2022
• #3 on FORTUNE 100 Best Large Workplaces in New York - 2022
• Fast Company's 2022 Finance Brands That Matter"
41,Freelancer,4.2,14TReviews,5.8T,41,16 office locations,501 to 1000 Employees,HR Consulting,"8 time Webby award winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace by total number of users and projects posted. 

Over 15 million registered users have posted over 7.5 million projects and contests to date in over 700 areas as diverse as website development, logo design, marketing, copywriting, astrophysics, aerospace engineering and manufacturing. 

Freelancer Limited is listed on the Australian Securities Exchange under the ticker ASX:FLN."
42,Salesforce,4.4,16.4TReviews,2.3T,595,58 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Salesforce is an online customer relationship management, or CRM, solution. It offers all your teams, including marketing, sales, commerce and service, a shared view of your customers thanks to an integrated CRM platform."
43,Amdocs,4.0,10.4TReviews,6.5T,5,39 office locations,10000+ Employees,Enterprise Software & Network Solutions,"In an era where new technologies are born every minute, and the demand for meaningful digital experiences has never been so intense, we unlock our customers’ innovative potential, empowering them to transform their boldest ideas into reality, and make billions of people feel like VIPs
 
Our 27,000 employees around the globe are here to accelerate our customers’ migration to the cloud, differentiate in the 5G era, digitalize and automate their operations, and provide end-users with the next-generation communication and media experiences that make the world say wow."
44,Publicis Sapient,3.9,9TReviews,6.7T,293,53 office locations,10000+ Employees,Business Consulting,"Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity.  

As digital pioneers with 20,000 people and 53 offices around the globe, our experience spanning technology, data sciences, consulting and customer obsession – combined with our culture of curiosity and relentlessness – enables us to accelerate our clients’ businesses through designing the products and services their customers truly value. Publicis Sapient is the digital business transformation hub of Publicis Groupe.

In India, we have offices across three prime locations and have expanded to flexible workplace locations across cities."
45,Robert Bosch,4.2,14.7TReviews,4.2T,340,33 office locations,10000+ Employees,Computer Hardware Development,"What we do

The Bosch Group is a leading global supplier of technology and services. It employs roughly 403,000 associates worldwide (as of December 31, 2019). According to preliminary figures, the company generated sales of 77.9 billion euros in 2019. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT company, Bosch offers innovative solutions for smart homes, smart cities, connected mobility, and connected manufacturing. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to deliver innovations for a connected life. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”"
46,ZS Associates,3.8,6.6TReviews,7.5T,87,37 office locations,10000+ Employees,Business Consulting,"An experience with ZS means from day one you’ll be encouraged to bring fresh thinking and to co-create with industry-leading clients. Here you’ll work side-by-side with a powerful collective of thinkers and experts shaping solutions from start to finish. At ZS, we believe that making an impact demands a different approach; and that’s why here your ideas elevate actions, and here you’ll have the freedom to pursue cutting-edge work and define your own path. Work side-by-side with like-minded people who rise in care of humanity’s greatest challenges to define what’s next. Join us and find a path where your passion can change lives.  

ZS is a management consulting and technology firm focused on transforming healthcare and beyond. We leverage our leading-edge analytics, plus the power of data, science and products, to help our clients make more intelligent decisions, deliver innovative solutions and improve outcomes for all. Founded in 1983, ZS has more than 12,000 employees in 35 offices worldwide."
